trade_date,Banking,RealEstate,SteelMaterials,Technology,ConsumerStaples,ConsumerDiscretionary,Energy,IndustrialLogistics,Healthcare,Utilities
2025-06-19,,,0.0,-0.5,0.23076923076923078,0.8571428571428571,0.0,0.5454545454545455,,0.25
2025-06-20,,,0.0,0.18181818181818182,-0.5,0.0,0.0,0.0,,0.4
2025-06-23,0.25,-1.0,-0.5,0.125,0.27272727272727276,0.12396694214876035,0.37837837837837834,1.0,-0.6,0.39655172413793105
2025-06-24,,,,0.0,-0.4,0.125,,0.0,-1.0,0.0
2025-06-25,1.0,,0.0,0.5,-0.6,0.1111111111111111,,,,0.3333333333333333
2025-06-26,0.0,,,,-0.375,0.25,-0.4,0.5,0.0,0.25
2025-06-27,,,,0.16666666666666666,-0.45454545454545453,0.0,0.0,0.4,,0.4
2025-06-30,,-0.5,-1.0,0.17142857142857143,0.2597402597402597,0.18548387096774197,0.0,0.6666666666666666,-0.8333333333333334,-0.02941176470588237
2025-07-01,,,0.0,0.2,0.20689655172413796,0.2608695652173913,0.5,0.0,,-0.2
2025-07-02,,1.0,,-0.5,0.5,0.14285714285714285,0.0,0.25,-0.5,0.5
2025-07-03,,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,,-1.0,-0.6666666666666666
2025-07-04,,,0.0,-0.5,0.31249999999999994,0.39999999999999997,0.0,1.0,,-0.2
2025-07-07,,,0.0,-0.02127659574468086,0.09090909090909091,0.17699115044247787,1.0,0.0,1.0,-0.08510638297872342
2025-07-08,,,,0.0,-0.3333333333333333,0.2631578947368421,-1.0,1.0,,0.5
2025-07-09,,,0.0,0.0,-0.1875,0.2222222222222222,0.5,,1.0,0.4
2025-07-10,,,0.0,-0.2,0.3333333333333333,0.5,,-0.3333333333333333,,0.0
2025-07-11,,,-1.0,0.6842105263157895,0.13432835820895522,0.09090909090909091,0.0,1.0,,0.18918918918918917
2025-07-14,,,0.6666666666666666,0.55,0.14285714285714285,0.36,0.0,0.16666666666666666,0.39999999999999997,0.4
2025-07-15,,,0.0,0.30434782608695654,-0.375,0.027027027027027032,-0.5,0.25,-0.5,0.6666666666666666
2025-07-16,-1.0,1.0,1.0,0.75,0.0,0.5333333333333333,,0.0,-1.0,0.4
2025-07-17,,,-0.4285714285714286,0.7826086956521738,-0.9230769230769231,0.13043478260869565,0.0,1.0,,0.0
2025-07-18,,1.0,,1.0,0.25,0.3125,0.0,0.5,0.0,0.125
2025-07-21,,,1.0,0.26666666666666666,0.28037383177570097,0.037500000000000006,0.31578947368421056,0.5,0.0,0.30612244897959184
2025-07-22,,1.0,,0.75,0.0,0.25,,0.6666666666666666,,0.5
2025-07-23,,,1.0,0.6800000000000002,-0.2857142857142857,0.5000000000000001,0.0,0.6666666666666666,,0.5
2025-07-24,,,0.0,0.6666666666666666,0.0,0.2,0.0,0.0,,0.2857142857142857
2025-07-25,,,,0.5,0.6666666666666666,0.375,0.0,0.0,,0.0
2025-07-28,,,1.0,0.5925925925925926,0.1610169491525424,0.1761904761904762,-0.75,0.9375,-1.0,0.32499999999999996
2025-07-29,,,,0.5,0.18181818181818182,0.0,0.25,0.25,-1.0,0.5
2025-07-30,,,1.0,0.0,0.6315789473684211,-0.06122448979591837,0.0,-1.0,,-0.2142857142857143
2025-07-31,,,,1.0,0.75,0.15384615384615385,0.0,1.0,,0.7142857142857143
2025-08-01,,,,-0.2857142857142857,0.3333333333333333,0.0,-0.16666666666666666,0.5,,0.125
2025-08-04,,,,0.2857142857142857,-0.2222222222222222,0.2265625,0.2222222222222222,-0.3636363636363637,-1.0,-0.05000000000000001
2025-08-05,1.0,,0.4444444444444444,0.8,0.23076923076923078,0.3561643835616439,-0.45454545454545453,0.42105263157894746,0.0,0.75
2025-08-06,,,0.2857142857142858,0.0,0.5000000000000001,-0.25,0.0,0.5,0.6666666666666666,0.6666666666666666
2025-08-07,,,,0.4,0.38461538461538464,0.1111111111111111,,1.0,,1.0
2025-08-08,-1.0,,,-0.5,0.1875,0.375,0.0,,,0.0
2025-08-11,,1.0,1.0,-0.058823529411764705,0.19047619047619047,0.1282051282051282,,-0.5,-1.0,-0.5
2025-08-12,,1.0,0.0,1.0,-0.16666666666666666,0.17647058823529413,0.0,,0.0,0.25
2025-08-13,,1.0,,0.5,-0.3333333333333333,0.1875,0.0,0.3333333333333333,-1.0,0.625
2025-08-14,,1.0,1.0,0.2,0.0,0.1875,0.7058823529411765,0.0,,0.1875
2025-08-15,,,0.0,0.2,0.2857142857142857,0.4117647058823529,0.16666666666666666,0.0,,0.125
2025-08-18,,0.0,0.0,0.71875,0.2222222222222222,0.4606741573033708,-0.4,0.5,,0.3181818181818182
2025-08-19,,,1.0,0.5714285714285715,0.5714285714285714,0.0,0.25,0.0,,0.0
2025-08-20,,,-0.5,0.1,0.0,0.038461538461538464,0.0,,,0.4
2025-08-21,,,0.0,0.42857142857142855,-0.35294117647058826,0.18181818181818182,0.0,1.0,0.0,0.36734693877551017
2025-08-22,,,0.0,0.25,0.4,0.38461538461538464,-0.2,1.0,,0.6666666666666666
2025-08-25,,,1.0,0.33070866141732286,0.509090909090909,0.3473684210526316,0.2857142857142857,0.43478260869565216,0.0,0.21176470588235294
2025-08-26,,,,0.0,1.0,0.3333333333333333,0.2,,,1.0
2025-08-27,,,,,,,,,,
2025-08-28,,,,,,,,,,
2025-08-29,,,,,,,,,,
2025-09-03,,,,,,,,,,
2025-09-04,,,,,,,,,,
2025-09-05,,,,,,,,,,
2025-09-08,,,,,,,,,,
2025-09-09,,,,,,,,,,
2025-09-10,,,,,,,,,,
2025-09-11,,,,,,,,,,
2025-09-12,,,,,,,,,,
2025-09-15,,,,,,,,,,
2025-09-16,,,,,,,,,,
2025-09-17,,,,,,,,,,
2025-09-18,,,,,,,,,,
2025-09-19,,,,,,,,,,
2025-09-22,,,,,,,,,,
2025-09-23,,,,,,,,,,
2025-09-24,,,,,,,,,,
2025-09-25,,,,,,,,,,
2025-09-26,,,,,,,,,,
2025-09-29,,,,,,,,,,
2025-09-30,,,,,,,,,,
2025-10-01,,,,,,,,,,
2025-10-02,,,,,,,,,,
2025-10-03,,,,,,,,,,
2025-10-06,,,,,,,,,,
2025-10-07,,,,,,,,,,
2025-10-08,,,,,,,,,,
2025-10-09,,,,,,,,,,
2025-10-10,,,,,,,,,,
2025-10-13,,,,,,,,,,
2025-10-14,,,,,,,,,,
2025-10-15,,,,,,,,,,
2025-10-16,,,,,,,,,,
2025-10-17,,,,,,,,,,
2025-10-20,,,,,0.4,0.0,0.0,,,0.0
2025-10-21,,0.0,,0.7090909090909091,0.5,0.16483516483516483,-0.4117647058823529,0.6923076923076923,,0.0
2025-10-22,1.0,0.39019963702359345,1.0,1.0,0.6093023255813953,0.03448275862068964,0.12499999999999994,0.3076923076923077,,0.5625
2025-10-23,0.0,0.16666666666666666,0.5217391304347826,0.5454545454545455,0.0,0.75,0.6000000000000001,0.0,,0.27272727272727276
2025-10-24,0.0,-0.5,1.0,0.16666666666666666,-0.3333333333333333,1.0,0.0,0.8,,1.0
2025-10-27,-0.021739130434782605,0.3194444444444445,0.6935483870967744,0.3636363636363636,-0.5620437956204379,0.24203821656050958,0.0,0.7647058823529413,,0.24390243902439027
2025-10-28,-0.5,-0.25,-0.07692307692307693,0.04347826086956524,0.0,-0.4285714285714286,0.0,0.75,,1.0
2025-10-29,0.625,0.5540809555408096,0.851063829787234,0.7126567844925885,1.0,0.7627118644067797,,1.0,1.0,1.0
