network_type,total_edges,cross_edges,self_edges,number_of_nodes,number_of_active_source_nodes,number_of_active_target_nodes,density_cross,top_sender_by_weight,top_receiver_by_weight,strongest_edge_source,strongest_edge_target,strongest_edge_weight,strongest_edge_p_value
raw,6,6,0,10,4,6,0.06666666666666667,IndustrialLogistics,SteelMaterials,Utilities,SteelMaterials,2.638556724107703,0.0022984934786324
fdr,0,0,0,10,0,0,0.0,,,,,,
