trade_date,sector_label,sector_return,sentiment_weighted_mean,sentiment_mean,sentiment_sum,weighted_sentiment_sum,article_count,row_count,weighted_article_count,positive_count,neutral_count,negative_count,positive_weighted_count,neutral_weighted_count,negative_weighted_count
2025-06-19,Banking,0.005304200487018,0.7285714285714286,0.55,1.1,0.85,7.0,7.0,6.166666666666666,2.0,0.0,0.0,1.1666666666666663,0.0,0.0
2025-06-19,ConsumerDiscretionary,0.0259072346060724,0.6627906976744187,0.625,5.0,4.75,8.0,8.0,7.166666666666666,7.0,1.0,0.0,6.166666666666666,1.0,0.0
2025-06-19,ConsumerStaples,0.0003246174170807,0.2282608695652174,0.2222222222222222,2.0,1.75,9.0,9.0,7.666666666666666,4.0,4.0,1.0,3.1666666666666665,3.5,1.0
2025-06-19,Energy,0.0081479728325956,0.1399999999999999,0.175,0.7,0.35,5.0,5.0,3.5,1.0,3.0,0.0,0.5,2.0,0.0
2025-06-19,Healthcare,0.0005590027391133,-0.4,-0.4,-0.4,-0.4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2025-06-19,IndustrialLogistics,-0.0127038515566909,0.4956521739130434,0.4749999999999999,5.699999999999999,5.699999999999999,12.0,12.0,11.5,8.0,3.0,1.0,8.0,2.5,1.0
2025-06-19,RealEstate,0.0055549574005405,0.2368421052631578,0.25,1.0,0.7499999999999999,4.0,4.0,3.1666666666666665,3.0,0.0,1.0,2.1666666666666665,0.0,1.0
2025-06-19,SteelMaterials,-0.0100721759520864,0.7105263157894737,0.625,2.5,2.25,4.0,4.0,3.1666666666666665,4.0,0.0,0.0,3.1666666666666665,0.0,0.0
2025-06-19,Technology,-0.0074178212252287,0.372,0.2166666666666666,1.2999999999999998,1.5499999999999998,6.0,6.0,4.166666666666666,4.0,1.0,1.0,3.1666666666666665,0.5,0.5
2025-06-19,Utilities,-0.002770083102493,0.3444444444444444,0.2333333333333333,1.4,1.5499999999999998,7.0,7.0,5.5,3.0,2.0,1.0,2.5,1.5,0.5
2025-06-20,Banking,0.0097708220513853,0.2653846153846154,0.2166666666666667,1.3000000000000005,1.38,8.0,8.0,7.2,3.0,0.0,3.0,3.0,0.0,2.2
2025-06-20,ConsumerDiscretionary,0.0026358382413699,0.072465960665658,0.0708333333333333,1.6999999999999995,1.5966666666666662,24.0,24.0,22.03333333333333,11.0,5.0,8.0,9.833333333333332,5.0,7.2
2025-06-20,ConsumerStaples,0.0032222506507022,-0.3368421052631579,-0.32,-3.2,-3.2,10.0,10.0,9.5,2.0,3.0,5.0,2.0,2.5,5.0
2025-06-20,Energy,-0.0180736804531042,0.1853658536585365,0.175,1.4,1.2666666666666666,8.0,8.0,6.833333333333333,4.0,3.0,1.0,3.333333333333333,2.5,1.0
2025-06-20,Healthcare,0.0003309238552042,0.7,0.7,0.7,0.7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2025-06-20,IndustrialLogistics,0.0135112462286658,0.160204081632653,0.1222222222222222,1.1,1.0466666666666664,9.0,9.0,6.533333333333333,3.0,4.0,2.0,2.333333333333333,3.0,1.2
2025-06-20,RealEstate,-0.0187424475104363,0.4087719298245614,0.3285714285714285,2.3,2.33,7.0,7.0,5.7,6.0,0.0,1.0,5.5,0.0,0.2
2025-06-20,SteelMaterials,-0.0026298840020117,0.4666666666666666,0.35,0.7,0.7,2.0,2.0,1.5,1.0,1.0,0.0,1.0,0.5,0.0
2025-06-20,Technology,-0.0024690706937141,0.4133928571428572,0.3285714285714285,4.6,4.63,14.0,14.0,11.2,8.0,4.0,2.0,7.0,3.5,0.7
2025-06-20,Utilities,-0.0013835343486855,0.4466666666666666,0.34,3.4000000000000004,3.35,10.0,10.0,7.5,7.0,2.0,1.0,6.0,1.0,0.5
2025-06-23,Banking,-0.003897844615769,0.3673624288425047,0.3090909090909091,3.4000000000000004,3.2266666666666666,25.0,25.0,22.28333333333333,6.0,1.0,4.0,5.25,1.0,2.533333333333333
2025-06-23,ConsumerDiscretionary,-0.0028436948675539,0.1923076923076923,0.2022222222222222,9.1,7.5,45.0,45.0,39.0,20.0,18.0,7.0,17.0,16.0,6.0
2025-06-23,ConsumerStaples,-0.0033170906772396,0.0449999999999999,0.0124999999999999,0.1999999999999999,0.5999999999999999,16.0,16.0,13.333333333333332,5.0,6.0,5.0,4.5,4.833333333333334,4.0
2025-06-23,Energy,0.0341842484053124,0.2698564593301435,0.2913043478260869,6.699999999999999,4.699999999999999,24.0,24.0,18.416666666666664,11.0,10.0,2.0,7.583333333333333,8.5,1.3333333333333333
2025-06-23,Healthcare,-0.0048562639762677,-0.5294117647058824,-0.5,-2.0,-1.5,4.0,4.0,2.833333333333333,0.0,2.0,2.0,0.0,1.3333333333333333,1.5
