source_sector,target_sector,source_variable,target_variable,lag,n_obs,f_stat,p_value,df_denom,df_num,status,error_message
RealEstate,Banking,sent_RealEstate,sent_Banking,1,270,1.289675285632426,0.25712997972998336,266.0,1,ok,
RealEstate,Banking,sent_RealEstate,sent_Banking,2,270,0.626721338346822,0.535136936952922,263.0,2,ok,
RealEstate,Banking,sent_RealEstate,sent_Banking,3,270,0.5779432387006586,0.6299777184132523,260.0,3,ok,
RealEstate,Banking,sent_RealEstate,sent_Banking,4,270,0.4834227176582582,0.7479096721566492,257.0,4,ok,
RealEstate,Banking,sent_RealEstate,sent_Banking,5,270,0.6727245099927582,0.6444838975142615,254.0,5,ok,
RealEstate,SteelMaterials,sent_RealEstate,sent_SteelMaterials,1,270,1.315535191815845,0.25242554038465986,266.0,1,ok,
RealEstate,SteelMaterials,sent_RealEstate,sent_SteelMaterials,2,270,1.1176871429810349,0.3285835997980004,263.0,2,ok,
RealEstate,SteelMaterials,sent_RealEstate,sent_SteelMaterials,3,270,1.4860897648966302,0.2187157791282454,260.0,3,ok,
RealEstate,SteelMaterials,sent_RealEstate,sent_SteelMaterials,4,270,2.87630985288692,0.023404451152244245,257.0,4,ok,
RealEstate,SteelMaterials,sent_RealEstate,sent_SteelMaterials,5,270,2.461166641563653,0.033607611836381134,254.0,5,ok,
RealEstate,Technology,sent_RealEstate,sent_Technology,1,270,0.7492375764457319,0.38749772751322387,266.0,1,ok,
RealEstate,Technology,sent_RealEstate,sent_Technology,2,270,0.3287794759868291,0.7200971477873086,263.0,2,ok,
RealEstate,Technology,sent_RealEstate,sent_Technology,3,270,0.37803612974122286,0.7689181373528042,260.0,3,ok,
RealEstate,Technology,sent_RealEstate,sent_Technology,4,270,0.33476398787539113,0.8544223385673257,257.0,4,ok,
RealEstate,Technology,sent_RealEstate,sent_Technology,5,270,0.3393201767712975,0.8887841644105333,254.0,5,ok,
RealEstate,ConsumerStaples,sent_RealEstate,sent_ConsumerStaples,1,270,1.0743798293830835,0.30089958306613845,266.0,1,ok,
RealEstate,ConsumerStaples,sent_RealEstate,sent_ConsumerStaples,2,270,0.816637551181689,0.4430324455422083,263.0,2,ok,
RealEstate,ConsumerStaples,sent_RealEstate,sent_ConsumerStaples,3,270,1.2869258813714115,0.27929709579737166,260.0,3,ok,
RealEstate,ConsumerStaples,sent_RealEstate,sent_ConsumerStaples,4,270,0.9432284666983801,0.43945726927642215,257.0,4,ok,
RealEstate,ConsumerStaples,sent_RealEstate,sent_ConsumerStaples,5,270,1.5698680245495278,0.16902453030767892,254.0,5,ok,
RealEstate,ConsumerDiscretionary,sent_RealEstate,sent_ConsumerDiscretionary,1,270,1.8978411463973401,0.16947810685683393,266.0,1,ok,
RealEstate,ConsumerDiscretionary,sent_RealEstate,sent_ConsumerDiscretionary,2,270,1.0785447730757132,0.34158942573068507,263.0,2,ok,
RealEstate,ConsumerDiscretionary,sent_RealEstate,sent_ConsumerDiscretionary,3,270,0.772608212740837,0.5102294587274979,260.0,3,ok,
RealEstate,ConsumerDiscretionary,sent_RealEstate,sent_ConsumerDiscretionary,4,270,0.6711914874083943,0.6125078652291598,257.0,4,ok,
RealEstate,ConsumerDiscretionary,sent_RealEstate,sent_ConsumerDiscretionary,5,270,0.553822874939005,0.7353407866390743,254.0,5,ok,
RealEstate,Energy,sent_RealEstate,sent_Energy,1,270,0.24255639204393367,0.6227720750397342,266.0,1,ok,
RealEstate,Energy,sent_RealEstate,sent_Energy,2,270,1.2831803126020656,0.27888379433748095,263.0,2,ok,
RealEstate,Energy,sent_RealEstate,sent_Energy,3,270,0.7295380387045515,0.5351788535977406,260.0,3,ok,
RealEstate,Energy,sent_RealEstate,sent_Energy,4,270,0.8329486895253336,0.5052609430111038,257.0,4,ok,
RealEstate,Energy,sent_RealEstate,sent_Energy,5,270,0.7646927481748892,0.5760081214589216,254.0,5,ok,
RealEstate,IndustrialLogistics,sent_RealEstate,sent_IndustrialLogistics,1,270,2.2274824748424185,0.1367596656891343,266.0,1,ok,
RealEstate,IndustrialLogistics,sent_RealEstate,sent_IndustrialLogistics,2,270,1.4162660404881204,0.24446241356207762,263.0,2,ok,
RealEstate,IndustrialLogistics,sent_RealEstate,sent_IndustrialLogistics,3,270,1.8887375215566142,0.13185735952910232,260.0,3,ok,
RealEstate,IndustrialLogistics,sent_RealEstate,sent_IndustrialLogistics,4,270,2.0736416200972996,0.08468571361282534,257.0,4,ok,
RealEstate,IndustrialLogistics,sent_RealEstate,sent_IndustrialLogistics,5,270,1.545477150975711,0.1761851381684254,254.0,5,ok,
RealEstate,Healthcare,sent_RealEstate,sent_Healthcare,1,270,0.36370993641546157,0.5469668698728485,266.0,1,ok,
RealEstate,Healthcare,sent_RealEstate,sent_Healthcare,2,270,0.2932127862319474,0.746106912270725,263.0,2,ok,
RealEstate,Healthcare,sent_RealEstate,sent_Healthcare,3,270,1.9712190545365882,0.11869531902146653,260.0,3,ok,
RealEstate,Healthcare,sent_RealEstate,sent_Healthcare,4,270,1.3815491015967474,0.24071428153200047,257.0,4,ok,
RealEstate,Healthcare,sent_RealEstate,sent_Healthcare,5,270,1.4007464015885014,0.2244212299576336,254.0,5,ok,
RealEstate,Utilities,sent_RealEstate,sent_Utilities,1,270,0.021834285123645998,0.8826407366066129,266.0,1,ok,
RealEstate,Utilities,sent_RealEstate,sent_Utilities,2,270,0.023973021889344,0.9763141816305049,263.0,2,ok,
RealEstate,Utilities,sent_RealEstate,sent_Utilities,3,270,0.16684270110379645,0.9186701506705464,260.0,3,ok,
RealEstate,Utilities,sent_RealEstate,sent_Utilities,4,270,0.40481345394724577,0.8051139356615015,257.0,4,ok,
RealEstate,Utilities,sent_RealEstate,sent_Utilities,5,270,0.4651571883787274,0.8020229190046452,254.0,5,ok,
SteelMaterials,Banking,sent_SteelMaterials,sent_Banking,1,270,0.007918628759519382,0.9291594591824646,266.0,1,ok,
SteelMaterials,Banking,sent_SteelMaterials,sent_Banking,2,270,3.170874440792534,0.04357602047451759,263.0,2,ok,
SteelMaterials,Banking,sent_SteelMaterials,sent_Banking,3,270,2.224737340953458,0.08570237756582769,260.0,3,ok,
SteelMaterials,Banking,sent_SteelMaterials,sent_Banking,4,270,1.6787001633640344,0.15532626308084171,257.0,4,ok,
SteelMaterials,Banking,sent_SteelMaterials,sent_Banking,5,270,1.564950247551068,0.1704471055848387,254.0,5,ok,
SteelMaterials,RealEstate,sent_SteelMaterials,sent_RealEstate,1,270,0.024341624660680662,0.8761371498239061,266.0,1,ok,
SteelMaterials,RealEstate,sent_SteelMaterials,sent_RealEstate,2,270,0.05203688466776242,0.9493036231725027,263.0,2,ok,
SteelMaterials,RealEstate,sent_SteelMaterials,sent_RealEstate,3,270,0.16229610575774256,0.9216579731069738,260.0,3,ok,
SteelMaterials,RealEstate,sent_SteelMaterials,sent_RealEstate,4,270,0.12571999320600993,0.9730771725562357,257.0,4,ok,
SteelMaterials,RealEstate,sent_SteelMaterials,sent_RealEstate,5,270,0.1391119730563804,0.9830398938188512,254.0,5,ok,
SteelMaterials,Technology,sent_SteelMaterials,sent_Technology,1,270,0.03499348581154477,0.8517519104646499,266.0,1,ok,
SteelMaterials,Technology,sent_SteelMaterials,sent_Technology,2,270,0.2755024600554327,0.7594093922642955,263.0,2,ok,
SteelMaterials,Technology,sent_SteelMaterials,sent_Technology,3,270,0.9709234252041901,0.4069620003473505,260.0,3,ok,
SteelMaterials,Technology,sent_SteelMaterials,sent_Technology,4,270,0.8317316736095345,0.5060221889718919,257.0,4,ok,
SteelMaterials,Technology,sent_SteelMaterials,sent_Technology,5,270,0.8073255881923223,0.5453265754848629,254.0,5,ok,
SteelMaterials,ConsumerStaples,sent_SteelMaterials,sent_ConsumerStaples,1,270,0.192274202183669,0.6613864330513858,266.0,1,ok,
SteelMaterials,ConsumerStaples,sent_SteelMaterials,sent_ConsumerStaples,2,270,0.23106854225375648,0.7938460201669334,263.0,2,ok,
SteelMaterials,ConsumerStaples,sent_SteelMaterials,sent_ConsumerStaples,3,270,0.3604605394644343,0.7816118316849151,260.0,3,ok,
