s_sector,r_sector,best_lag,corr,pvalue,significant,n_obs
Banking,Banking,4,0.14929786284674404,0.019136312426934404,True,246
Banking,RealEstate,5,0.0878600600749397,0.17042269289908046,False,245
Banking,SteelMaterials,5,-0.12128413072542515,0.058000746155414125,False,245
Banking,Technology,0,0.07851492534341069,0.21604285017035968,False,250
Banking,ConsumerStaples,1,-0.10285752352010089,0.1054053314649716,False,249
Banking,ConsumerDiscretionary,2,-0.16186870108579818,0.010677140139937067,True,248
Banking,Energy,0,0.1134355517157091,0.07339474970761127,False,250
Banking,IndustrialLogistics,2,-0.1471351011796064,0.020448790412662673,True,248
Banking,Healthcare,4,-0.1290719310688192,0.04311736380724266,True,246
Banking,Utilities,0,0.08342852780520427,0.18857601550230427,False,250
RealEstate,Banking,0,0.13883225652202272,0.028180166579166565,True,250
RealEstate,RealEstate,0,0.17282734934315647,0.006151567237620382,True,250
RealEstate,SteelMaterials,1,-0.11567802620659651,0.06840856734784627,False,249
RealEstate,Technology,2,-0.13120208617722495,0.038954477156748275,True,248
RealEstate,ConsumerStaples,2,-0.13785558976633555,0.029979816190392732,True,248
RealEstate,ConsumerDiscretionary,1,-0.14380964594276607,0.023227612124645653,True,249
RealEstate,Energy,3,0.10249830519290856,0.1080651048007824,False,247
RealEstate,IndustrialLogistics,1,-0.1692411000139715,0.00744008240274532,True,249
RealEstate,Healthcare,0,-0.13997812541923726,0.026893261386471565,True,250
RealEstate,Utilities,2,-0.1255368411651639,0.0482922579521112,True,248
SteelMaterials,Banking,1,0.06307859891854789,0.3215182661844283,False,249
SteelMaterials,RealEstate,5,-0.08827905681886515,0.1683855490654547,False,245
SteelMaterials,SteelMaterials,3,0.06988285803266059,0.27392767113717487,False,247
SteelMaterials,Technology,2,0.08714043842975346,0.17132470442371295,False,248
SteelMaterials,ConsumerStaples,1,0.07274032267832847,0.2528049336908657,False,249
SteelMaterials,ConsumerDiscretionary,2,-0.03609435361613909,0.5715792576367815,False,248
SteelMaterials,Energy,2,0.16242731633454888,0.0104064987572318,True,248
SteelMaterials,IndustrialLogistics,1,0.08630717957855549,0.17459505256782024,False,249
SteelMaterials,Healthcare,3,-0.11697209577044956,0.066455182814409,False,247
SteelMaterials,Utilities,4,-0.04897063201748528,0.4444971025156244,False,246
Technology,Banking,2,-0.13785929216475787,0.02997536151700633,True,248
Technology,RealEstate,1,0.09947295158901259,0.11743195139433253,False,249
Technology,SteelMaterials,3,-0.09068865074071893,0.15532143420377365,False,247
Technology,Technology,3,-0.15322391160094515,0.01594655131431705,True,247
Technology,ConsumerStaples,4,-0.1246472731230952,0.050857444047965224,False,246
Technology,ConsumerDiscretionary,2,-0.06310794625388541,0.32227626460714714,False,248
Technology,Energy,2,-0.15880709277167052,0.012273776985649344,True,248
Technology,IndustrialLogistics,3,-0.1763096255817999,0.005458229634227657,True,247
Technology,Healthcare,2,-0.13110825467198184,0.03909572200019006,True,248
Technology,Utilities,3,-0.19823751338416049,0.0017428727401357909,True,247
ConsumerStaples,Banking,2,-0.11233493948293036,0.07744484846730776,False,248
ConsumerStaples,RealEstate,2,0.06277494925003488,0.32484126357621423,False,248
ConsumerStaples,SteelMaterials,2,-0.0937696603797867,0.14089346392748753,False,248
ConsumerStaples,Technology,3,-0.188422553921954,0.0029495599610072066,True,247
ConsumerStaples,ConsumerStaples,2,-0.18153525196735434,0.0041275288520583086,True,248
ConsumerStaples,ConsumerDiscretionary,4,-0.08001392139493764,0.21108645829673212,False,246
ConsumerStaples,Energy,0,0.1678619352727751,0.007820381381999426,True,250
ConsumerStaples,IndustrialLogistics,4,-0.16700000329689607,0.008679986904731783,True,246
ConsumerStaples,Healthcare,1,-0.0727183257145966,0.2529488317120789,False,249
ConsumerStaples,Utilities,4,-0.16119924623091647,0.011340915827547779,True,246
ConsumerDiscretionary,Banking,1,-0.11707667934108874,0.06511158298861598,False,249
ConsumerDiscretionary,RealEstate,1,-0.14300760616789587,0.024015590020068242,True,249
ConsumerDiscretionary,SteelMaterials,4,-0.16976824563741796,0.007617997771038068,True,246
ConsumerDiscretionary,Technology,4,-0.16372797765669744,0.010103258714707802,True,246
ConsumerDiscretionary,ConsumerStaples,3,-0.13860899973801272,0.029414618639141264,True,247
ConsumerDiscretionary,ConsumerDiscretionary,1,-0.16523724219918762,0.008994554667703266,True,249
ConsumerDiscretionary,Energy,5,0.17996982336385905,0.004718105946077743,True,245
ConsumerDiscretionary,IndustrialLogistics,4,-0.13937145086663688,0.028852232510869817,True,246
ConsumerDiscretionary,Healthcare,1,-0.18500251910758114,0.0033903302438862966,True,249
ConsumerDiscretionary,Utilities,1,-0.1556205502945019,0.013960044987364563,True,249
Energy,Banking,2,0.0685304890000694,0.2823607123624786,False,248
Energy,RealEstate,5,0.053316835442132976,0.40605060499397316,False,245
Energy,SteelMaterials,5,-0.1150606374607536,0.07221682961033664,False,245
Energy,Technology,1,0.11551987269638721,0.06878981133129723,False,249
Energy,ConsumerStaples,0,0.13866635743951,0.02837078764818213,True,250
Energy,ConsumerDiscretionary,5,-0.16397607102872655,0.010142554395542389,True,245
Energy,Energy,4,0.20148652693019486,0.0014894052972341148,True,246
Energy,IndustrialLogistics,1,0.1329102084514742,0.036078398486827506,True,249
Energy,Healthcare,2,0.1359121020277128,0.032397620502192075,True,248
Energy,Utilities,2,0.07074132229350431,0.2670859776898635,False,248
IndustrialLogistics,Banking,4,0.08553699369838141,0.1811526921309168,False,246
IndustrialLogistics,RealEstate,1,-0.13301141292884613,0.03593579940175735,True,249
IndustrialLogistics,SteelMaterials,5,-0.1187529238864482,0.06347584928108876,False,245
IndustrialLogistics,Technology,4,0.12128407018448459,0.05748616736599214,False,246
IndustrialLogistics,ConsumerStaples,5,-0.1605109120416081,0.011873616501889112,True,245
IndustrialLogistics,ConsumerDiscretionary,5,-0.1440556676385116,0.024128841043199904,True,245
IndustrialLogistics,Energy,4,0.2676751545423487,2.0920234300713376e-05,True,246
IndustrialLogistics,IndustrialLogistics,4,0.116411707991781,0.06834143302336454,False,246
IndustrialLogistics,Healthcare,4,-0.11073747500749875,0.083035591828608,False,246
IndustrialLogistics,Utilities,3,0.10084987717307856,0.11388407609184903,False,247
Healthcare,Banking,1,0.11132953828635782,0.079539282553122,False,249
Healthcare,RealEstate,5,-0.07212683538005939,0.26073509785303517,False,245
Healthcare,SteelMaterials,0,-0.09191699272017097,0.1473037319452733,False,250
Healthcare,Technology,1,0.1056147149459793,0.0963444396641082,False,249
Healthcare,ConsumerStaples,4,0.09787517822554935,0.12577641907281734,False,246
Healthcare,ConsumerDiscretionary,1,0.07411086684276123,0.24395082631407064,False,249
Healthcare,Energy,1,0.14057149349934803,0.02655180741312254,True,249
Healthcare,IndustrialLogistics,4,0.1379633053462683,0.03052552192001008,True,246
Healthcare,Healthcare,2,0.07666138685105252,0.22900085517675683,False,248
Healthcare,Utilities,2,0.0897773105855795,0.15868156128509547,False,248
Utilities,Banking,2,0.08144867702725617,0.20114371619238045,False,248
Utilities,RealEstate,5,-0.1118193195854501,0.08067542339968453,False,245
Utilities,SteelMaterials,5,-0.05701759990159451,0.3742043073183706,False,245
Utilities,Technology,0,0.11514834656296466,0.06912814987323213,False,250
Utilities,ConsumerStaples,5,-0.033724136901684604,0.5993634258415698,False,245
Utilities,ConsumerDiscretionary,0,0.09711246637358732,0.12566819649210814,False,250
Utilities,Energy,5,0.13622343310393373,0.03306653462121514,True,245
Utilities,IndustrialLogistics,4,0.0808172429932398,0.2065244442598998,False,246
Utilities,Healthcare,1,0.08675984218904342,0.17233690078222896,False,249
Utilities,Utilities,5,0.040171673979663924,0.5314309186857165,False,245
