source_sector,target_sector,source_variable,target_variable,best_lag,n_obs,f_stat,p_value,p_value_fdr_bh,p_value_bonferroni,significant_raw_05,significant_fdr_05,significant_bonferroni_05,alpha,lag_selection_method,ljungbox_pvalue,ljungbox_white_noise,status,error_message,edge_weight
Banking,RealEstate,sent_Banking,ret_RealEstate,2,250,0.48288870570635356,0.6175892750006847,0.7411071300008216,1.0,False,False,False,0.05,var_aic,0.28345856440905604,True,ok,,0.1301190084777789
Banking,SteelMaterials,sent_Banking,ret_SteelMaterials,3,250,0.6075302481567384,0.6107053171326762,0.7411071300008216,1.0,False,False,False,0.05,var_aic,0.3981039908443207,True,ok,,0.1301190084777789
Banking,Technology,sent_Banking,ret_Technology,1,250,0.7348603657250392,0.39214662179600157,0.5785769829777072,1.0,False,False,False,0.05,var_aic,0.022320236679584653,False,ok,,0.23763884750207553
Banking,ConsumerStaples,sent_Banking,ret_ConsumerStaples,4,250,0.6995086185658077,0.5929816452560164,0.7411071300008216,1.0,False,False,False,0.05,var_aic,0.14873856036475094,True,ok,,0.1301190084777789
Banking,ConsumerDiscretionary,sent_Banking,ret_ConsumerDiscretionary,4,250,1.6503037270435161,0.16239272151695727,0.41313575732890084,1.0,False,False,False,0.05,var_aic,0.4476362135686278,True,ok,,0.38390721475816286
Banking,Energy,sent_Banking,ret_Energy,5,250,0.1405139220754859,0.9826376674045967,0.993678540072064,1.0,False,False,False,0.05,var_aic,0.8450767773114549,True,ok,,0.0027540892972587705
Banking,IndustrialLogistics,sent_Banking,ret_IndustrialLogistics,2,250,2.504041536185301,0.08386161474014653,0.31060859987467787,1.0,False,False,False,0.05,var_aic,0.32547473704194757,True,ok,,0.5077865240536513
Banking,Healthcare,sent_Banking,ret_Healthcare,1,250,0.0009728204174707276,0.975143249771522,0.993678540072064,1.0,False,False,False,0.05,var_aic,0.051585994544940096,True,ok,,0.0027540892972587705
Banking,Utilities,sent_Banking,ret_Utilities,2,250,0.7042779139065123,0.49547192587791944,0.674403811790436,1.0,False,False,False,0.05,var_aic,0.09090793870667899,True,ok,,0.1710799837052682
RealEstate,Banking,sent_RealEstate,ret_Banking,1,250,1.2888245180171205,0.25736957847748526,0.4322637895405207,1.0,False,False,False,0.05,var_aic,0.8130113323854232,True,ok,,0.3642511435119167
RealEstate,SteelMaterials,sent_RealEstate,ret_SteelMaterials,1,250,3.321595834257985,0.06958938580487065,0.31060859987467787,1.0,False,False,False,0.05,var_aic,0.07333737172030189,True,ok,,0.5077865240536513
RealEstate,Technology,sent_RealEstate,ret_Technology,1,250,1.6264770685603127,0.20339407503435866,0.4160333352975518,1.0,False,False,False,0.05,var_aic,0.14577695594360246,True,ok,,0.38087186947961615
RealEstate,ConsumerStaples,sent_RealEstate,ret_ConsumerStaples,1,250,1.7000898398917117,0.19349500986465526,0.41463216399568986,1.0,False,False,False,0.05,var_aic,0.17445013446487245,True,ok,,0.38233701168731077
RealEstate,ConsumerDiscretionary,sent_RealEstate,ret_ConsumerDiscretionary,1,250,5.182459933394591,0.023675751192712702,0.20287991160060753,1.0,True,False,False,0.05,var_aic,0.15100263114892692,True,ok,,0.6927609530303049
RealEstate,Energy,sent_RealEstate,ret_Energy,1,250,0.2520331154548828,0.6160961644869531,0.7411071300008216,1.0,False,False,False,0.05,var_aic,0.04963003267698181,False,ok,,0.1301190084777789
RealEstate,IndustrialLogistics,sent_RealEstate,ret_IndustrialLogistics,1,250,7.606671390469819,0.006251766197770238,0.18755298593310715,0.5626589577993214,True,False,False,0.05,var_aic,0.319501508356889,True,ok,,0.7268760172826582
RealEstate,Healthcare,sent_RealEstate,ret_Healthcare,1,250,1.658415404037846,0.1990275248339031,0.4160333352975518,1.0,False,False,False,0.05,var_aic,0.765883378248702,True,ok,,0.38087186947961615
RealEstate,Utilities,sent_RealEstate,ret_Utilities,2,250,2.1255654019041073,0.12157952152898847,0.34194240430028006,1.0,False,False,False,0.05,var_aic,0.20240090506262712,True,ok,,0.46604703897617056
SteelMaterials,Banking,sent_SteelMaterials,ret_Banking,1,250,0.9083723332712049,0.341482195472145,0.5209050439405601,1.0,False,False,False,0.05,var_aic,0.5741578333028764,True,ok,,0.28324143725928463
