trade_date,sector_label,article_count,row_count,weighted_article_count,sentiment_mean,sentiment_sum,weighted_sentiment_sum,sentiment_weighted_mean,positive_count,neutral_count,negative_count,positive_weighted_count,neutral_weighted_count,negative_weighted_count
2025-06-26,SteelMaterials,2,2,1.5,,,,,0,0,0,0.0,0.0,0.0
2025-06-26,Technology,6,6,3.833333333333333,,,,,0,0,0,0.0,0.0,0.0
2025-06-26,Utilities,15,15,9.833333333333332,0.25,1.0,0.5,0.25,1,3,0,0.5,1.5,0.0
2025-06-27,Banking,19,19,15.833333333333332,,,,,0,0,0,0.0,0.0,0.0
2025-06-27,ConsumerDiscretionary,18,18,15.0,0.0,0.0,0.0,0.0,1,6,1,0.5,5.5,0.5
2025-06-27,ConsumerStaples,9,9,7.333333333333333,-0.5,-3.0,-2.5,-0.45454545454545453,0,3,3,0.0,3.0,2.5
2025-06-27,Energy,4,4,3.5,0.0,0.0,0.0,0.0,0,2,0,0.0,2.0,0.0
2025-06-27,Healthcare,1,1,1.0,,,,,0,0,0,0.0,0.0,0.0
2025-06-27,IndustrialLogistics,8,8,7.5,0.3333333333333333,1.0,1.0,0.4,1,2,0,1.0,1.5,0.0
2025-06-27,RealEstate,3,3,2.5,,,,,0,0,0,0.0,0.0,0.0
2025-06-27,SteelMaterials,1,1,0.5,,,,,0,0,0,0.0,0.0,0.0
2025-06-27,Technology,7,7,5.5,0.25,1.0,0.5,0.16666666666666666,1,3,0,0.5,2.5,0.0
2025-06-27,Utilities,13,13,8.333333333333332,0.5,2.0,1.0,0.4,2,2,0,1.0,1.5,0.0
2025-06-30,Banking,24,24,21.0,,,,,0,0,0,0.0,0.0,0.0
2025-06-30,ConsumerDiscretionary,49,49,42.5,0.16666666666666666,4.0,3.8333333333333335,0.18548387096774197,5,18,1,4.333333333333333,15.833333333333332,0.5
2025-06-30,ConsumerStaples,22,22,17.666666666666664,0.2,3.0,3.333333333333333,0.2597402597402597,7,4,4,6.333333333333333,3.5,3.0
2025-06-30,Energy,6,6,5.5,0.0,0.0,0.0,0.0,0,1,0,0.0,0.5,0.0
2025-06-30,Healthcare,7,7,6.0,-0.75,-3.0,-2.5,-0.8333333333333334,0,1,3,0.0,0.5,2.5
2025-06-30,IndustrialLogistics,8,8,8.0,0.6666666666666666,2.0,2.0,0.6666666666666666,2,1,0,2.0,1.0,0.0
2025-06-30,RealEstate,8,8,7.0,-0.5,-1.0,-1.0,-0.5,0,1,1,0.0,1.0,1.0
2025-06-30,SteelMaterials,8,8,6.5,-1.0,-1.0,-0.5,-1.0,0,0,1,0.0,0.0,0.5
2025-06-30,Technology,14,14,10.833333333333332,0.125,1.0,1.0,0.17142857142857143,2,5,1,1.5,3.833333333333333,0.5
2025-06-30,Utilities,24,24,18.0,0.0,0.0,-0.16666666666666674,-0.02941176470588237,2,5,2,0.8333333333333333,3.833333333333333,1.0
2025-07-01,Banking,14,14,11.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-01,ConsumerDiscretionary,17,17,14.333333333333332,0.2,1.0,1.0,0.2608695652173913,1,4,0,1.0,2.833333333333333,0.0
2025-07-01,ConsumerStaples,8,8,5.833333333333333,0.16666666666666666,1.0,1.0,0.20689655172413796,2,3,1,2.0,1.8333333333333333,1.0
2025-07-01,Energy,10,10,8.833333333333332,0.5,1.0,1.0,0.5,1,1,0,1.0,1.0,0.0
2025-07-01,IndustrialLogistics,4,4,3.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-01,RealEstate,1,1,1.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-01,SteelMaterials,3,3,1.8333333333333333,0.0,0.0,0.0,0.0,0,2,0,0.0,1.3333333333333333,0.0
2025-07-01,Technology,5,5,3.833333333333333,0.3333333333333333,1.0,0.5,0.2,2,0,1,1.5,0.0,1.0
2025-07-01,Utilities,14,14,10.333333333333332,0.0,0.0,-0.5,-0.2,1,2,1,0.5,1.0,1.0
2025-07-02,Banking,9,9,7.75,,,,,0,0,0,0.0,0.0,0.0
