source_sector,Banking,RealEstate,SteelMaterials,Technology,ConsumerStaples,ConsumerDiscretionary,Energy,IndustrialLogistics,Healthcare,Utilities
Banking,,0.014706966305714953,0.08432738639826454,0.08025191194105485,0.113488923896725,0.08203198401535627,0.5583348716093433,0.5583348716093433,0.24976354563296885,0.5168964172928944
RealEstate,0.026806988736097548,,0.0169794833126875,0.722236172691446,0.2506331920047715,0.05789318335094926,0.06401930838676001,0.034874246365816534,0.06401930838676001,0.6753709523342997
SteelMaterials,0.0169794833126875,0.5639740002097864,,0.41341439258029017,0.9324053035239035,0.5380020092058948,0.06479802587645257,0.15844332485312781,0.08203198401535627,0.8673537967041077
Technology,0.06401930838676001,0.00634548931318227,0.3006468409680404,,0.025421308934087727,0.07997456653347441,0.034874246365816534,0.12765421874519067,0.014334861661059102,0.4813679898134689
ConsumerStaples,0.5380020092058948,0.09976898014473178,0.30400192008453825,0.5168964172928944,,0.028932596141820158,0.5477472381927365,0.7688627948545236,0.05789318335094926,0.3615954371377365
ConsumerDiscretionary,0.20905050186183488,0.06401930838676001,0.4854920535678109,0.10140013077897116,0.09084932345067047,,0.0169794833126875,0.6753709523342997,0.1225197102067933,0.09976898014473178
Energy,0.00634548931318227,0.034874246365816534,0.22582179207089906,0.2863351241386313,0.31167754640970124,0.6621137909066852,,0.06479802587645257,0.013037211913827248,0.06401930838676001
IndustrialLogistics,0.012588446258642997,0.00634548931318227,0.12212919182065453,0.09976898014473178,0.10525367331507286,0.07401863039983657,0.0003198914361780958,,0.09976898014473178,0.012588446258642997
Healthcare,0.2729884935790516,0.05789318335094926,0.500184957188642,0.8673537967041077,0.3615954371377365,0.3615954371377365,0.8953697433150012,0.10173112228446865,,0.4854920535678109
Utilities,0.06401930838676001,0.00634548931318227,0.00634548931318227,0.3033641196403828,0.6621137909066852,0.48439354063176954,0.10173112228446865,0.30400192008453825,0.3696801123093317,
