s_sector,r_sector,lag,corr,pvalue,significant,n_obs
Banking,Banking,0,0.1211032481159885,0.055843083366109096,False,250
Banking,Banking,1,-0.1094684914983001,0.08473017327006484,False,249
Banking,Banking,2,-0.06580224445462045,0.3020071793105283,False,248
Banking,Banking,3,-0.03093783608818646,0.6284740825832119,False,247
Banking,Banking,4,0.14929786284674404,0.019136312426934404,True,246
Banking,Banking,5,0.092813798492414,0.14748717021657126,False,245
Banking,RealEstate,0,0.04147724779063401,0.5138805588955776,False,250
Banking,RealEstate,1,-0.052465846872020064,0.4097695419229933,False,249
Banking,RealEstate,2,-0.06976453619171064,0.27376354595671715,False,248
Banking,RealEstate,3,0.004440270600650595,0.9446468028372645,False,247
Banking,RealEstate,4,0.011673148384319751,0.8554572521573662,False,246
Banking,RealEstate,5,0.0878600600749397,0.17042269289908046,False,245
Banking,SteelMaterials,0,0.06391344354178038,0.31416296104794006,False,250
Banking,SteelMaterials,1,-0.09383632189069822,0.1398039671169625,False,249
Banking,SteelMaterials,2,-0.037927400350571065,0.5521926209992409,False,248
Banking,SteelMaterials,3,0.04661465671175676,0.4658259986136032,False,247
Banking,SteelMaterials,4,0.00961095149973941,0.8807822990115213,False,246
Banking,SteelMaterials,5,-0.12128413072542515,0.058000746155414125,False,245
Banking,Technology,0,0.07851492534341069,0.21604285017035968,False,250
Banking,Technology,1,-0.041477020980896104,0.5147344005437469,False,249
Banking,Technology,2,-0.022404679651230018,0.7255202185352614,False,248
Banking,Technology,3,-0.009488131845705891,0.8820550131161755,False,247
Banking,Technology,4,0.07215420928496677,0.2595731082906769,False,246
Banking,Technology,5,0.00026212067577887493,0.9967431596131043,False,245
Banking,ConsumerStaples,0,0.06183864149524113,0.33016230578694417,False,250
Banking,ConsumerStaples,1,-0.10285752352010089,0.1054053314649716,False,249
Banking,ConsumerStaples,2,-0.03708199156115331,0.5610938743557753,False,248
Banking,ConsumerStaples,3,0.008207934818938695,0.8978754524290994,False,247
